 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | light-tag Eigenvar. 11 | -6.97478e-05 / 6.97669e-05 | -3.69947e-05 / 3.6923e-05 | -4.43246e-05 / 4.43313e-05 | -6.76008e-05 / 6.7641e-05 | -6.34193e-05 / 6.33899e-05 | -5.92299e-05 / 5.91432e-05 | -7.00897e-05 / 7.00756e-05 | -8.53684e-05 / 8.53332e-05 | -5.81035e-05 / 5.8113e-05 | -8.48583e-05 / 8.4943e-05 |
 | light-tag Eigenvar. 12 | -0.000427749 / 0.000427768 | -0.000494292 / 0.000494304 | -0.000440873 / 0.00044088 | -0.000538086 / 0.00053804 | -0.000509542 / 0.00050958 | -0.000579915 / 0.00057994 | -0.000597534 / 0.000597585 | -0.00059363 / 0.000593688 | -0.000215985 / 0.000215995 | -0.000440102 / 0.000440187 |
 | light-tag Eigenvar. 13 | 0.000816894 / -0.000816875 | 0.000901146 / -0.000901134 | 0.000813124 / -0.000813117 | 0.00100367 / -0.00100372 | 0.000952738 / -0.0009527 | 0.00105856 / -0.00105854 | 0.00111317 / -0.00111312 | 0.00113026 / -0.00113029 | 0.00046505 / -0.000465041 | 0.000864749 / -0.000864783 |
 | light-tag Eigenvar. 14 | -0.000741657 / 0.000741608 | -0.000818386 / 0.000818399 | -0.000728013 / 0.000728019 | -0.000614463 / 0.000614417 | -0.000922716 / 0.000922687 | -0.000619968 / 0.000619881 | -0.000766553 / 0.000766539 | -0.00119413 / 0.00119419 | -0.000390346 / 0.000390355 | -0.000749489 / 0.000749573 |
 | light-tag Eigenvar. 15 | -0.000232674 / 0.000232693 | -0.000122097 / 0.000122109 | -0.000107352 / 0.000107358 | -0.000273931 / 0.000273972 | -0.000191441 / 0.000191412 | -0.00023361 / 0.000233635 | -0.000330685 / 0.000330671 | -0.000280349 / 0.000280407 | -0.00022203 / 0.000221967 | -0.000314025 / 0.00031411 |
 | light-tag Eigenvar. 16 | 0.000132221 / -0.000132202 | 5.35734e-05 / -5.3561e-05 | 9.11316e-05 / -9.11945e-05 | 0.000202536 / -0.000202496 | 0.000113318 / -0.000113348 | 0.000134897 / -0.000134873 | 0.000146216 / -0.00014623 | 0.000172418 / -0.000172453 | 0.000168788 / -0.000168779 | 0.000227254 / -0.000227288 |
 | light-tag Eigenvar. 17 | 0.000929448 / -0.000929497 | 0.000952527 / -0.000952515 | 0.00090561 / -0.000905603 | 0.0011494 / -0.00114945 | 0.000965338 / -0.0009653 | 0.00100166 / -0.00100164 | 0.00118684 / -0.00118685 | 0.00132093 / -0.00132087 | 0.00132404 / -0.00132403 | 0.00123848 / -0.00123851 |
 | light-tag Eigenvar. 18 | 6.36922e-05 / -6.36731e-05 | 7.0392e-05 / -7.04637e-05 | 7.85261e-05 / -7.85195e-05 | -5.58972e-05 / 5.58507e-05 | 6.68262e-05 / -6.68557e-05 | -8.02044e-06 / 7.9337e-06 | -5.42625e-05 / 5.42484e-05 | 9.83631e-05 / -9.83983e-05 | 5.35794e-05 / -5.35699e-05 | -1.15108e-05 / 1.1477e-05 |
 | light-tag Eigenvar. 19 | 0.000173243 / -0.000173292 | 0.000151878 / -0.000151866 | 0.000183618 / -0.000183611 | 0.000243629 / -0.000243675 | 0.000194916 / -0.000194945 | 0.000230845 / -0.000230821 | 0.000220011 / -0.00021996 | 0.00019979 / -0.000199732 | 0.000201027 / -0.000201017 | 0.000226306 / -0.00022634 |
 | light-tag Eigenvar. 20 | -0.000185441 / 0.00018546 | -0.000174739 / 0.000174751 | -0.000198167 / 0.000198173 | -0.000229284 / 0.000229238 | -0.000186186 / 0.000186156 | -0.000219775 / 0.0002198 | -0.000203156 / 0.000203142 | -0.000214918 / 0.000214976 | -0.000204615 / 0.000204625 | -0.000220889 / 0.000220974 |
 | b-tag Eigenvar. 2 | 0.00679344 / -0.00679344 | 0.0120032 / -0.0120032 | 0.0113885 / -0.0113885 | 0.000154768 / -0.000154768 | 0.0128403 / -0.0128403 | 0.00888747 / -0.00888747 | 0.00024639 / -0.00024639 | 0.000448578 / -0.000448578 | 0.000229163 / -0.000229163 | 0.000316005 / -0.000316005 |
 | b-tag Eigenvar. 3 | 0.00710175 / -0.00710175 | 0.013261 / -0.013261 | 0.0136963 / -0.0136963 | 0.000234179 / -0.000234179 | 0.014772 / -0.014772 | 0.0169305 / -0.0169305 | 0.000336729 / -0.000336729 | 0.000395802 / -0.000395802 | 0.000509594 / -0.000509594 | 0.000364469 / -0.000364469 |
 | b-tag Eigenvar. 4 | -0.00256081 / 0.00256081 | -0.00488285 / 0.00488285 | -0.00498503 / 0.00498503 | -8.8754e-05 / 8.8754e-05 | -0.00532054 / 0.00532054 | -0.00609313 / 0.00609313 | -0.00011946 / 0.00011946 | -0.00013552 / 0.00013552 | -0.000190871 / 0.000190871 | -0.000128108 / 0.000128108 |
 | b-tag Eigenvar. 5 | -0.00351448 / 0.00351448 | -0.00637415 / 0.00637415 | -0.00499325 / 0.00499325 | -0.000224516 / 0.000224516 | -0.00468124 / 0.00468124 | -0.00314987 / 0.00314987 | -0.00021742 / 0.00021742 | -0.000418241 / 0.000418241 | -0.000511671 / 0.000511671 | -0.000214846 / 0.000214846 |
 | b-tag Eigenvar. 6 | -0.00686898 / 0.00686898 | -0.0126469 / 0.0126469 | -0.0110569 / 0.0110569 | -0.000156028 / 0.000156028 | -0.0031218 / 0.0031218 | -0.0114264 / 0.0114264 | -0.000197815 / 0.000197815 | -0.000352154 / 0.000352154 | -0.000319321 / 0.000319321 | -0.000306915 / 0.000306915 |
 | b-tag Eigenvar. 7 | -0.00105809 / 0.00105809 | -0.00198265 / 0.00198265 | -0.00129547 / 0.00129547 | -2.79819e-05 / 2.79819e-05 | -0.000720037 / 0.000720037 | -0.000236176 / 0.000236176 | -2.69719e-05 / 2.69719e-05 | -9.75546e-05 / 9.75546e-05 | -2.62249e-05 / 2.62249e-05 | -6.2463e-05 / 6.2463e-05 |
 | b-tag Eigenvar. 8 | 0.00788239 / -0.00788239 | 0.0152116 / -0.0152116 | 0.0125069 / -0.0125069 | 0.00024779 / -0.00024779 | 0.0126085 / -0.0126085 | 0.00956513 / -0.00956513 | 0.000276937 / -0.000276937 | 0.000634372 / -0.000634372 | 0.000367616 / -0.000367616 | 0.000467677 / -0.000467677 |
 | b-tag Eigenvar. 9 | 0.000138705 / -0.000138705 | 0.000760122 / -0.000760122 | 0.000547434 / -0.000547434 | 4.52817e-06 / -4.52817e-06 | 0.00045352 / -0.00045352 | -0.000294972 / 0.000294972 | 4.98845e-05 / -4.98845e-05 | 4.50247e-05 / -4.50247e-05 | 5.22122e-05 / -5.22122e-05 | 6.26662e-05 / -6.26662e-05 |
 | b-tag Eigenvar. 10 | -0.00846643 / 0.00846643 | -0.01638 / 0.01638 | -0.0137397 / 0.0137397 | -0.000252865 / 0.000252865 | -0.00913108 / 0.00913108 | -0.0125292 / 0.0125292 | -0.000341172 / 0.000341172 | -0.00027688 / 0.00027688 | -0.000458061 / 0.000458061 | -0.000277884 / 0.000277884 |
 | b-tag Eigenvar. 11 | -0.00180952 / 0.00180952 | -0.00283653 / 0.00283653 | -0.00274927 / 0.00274927 | -3.08428e-05 / 3.08428e-05 | 1.17768e-05 / -1.17768e-05 | -0.00188313 / 0.00188313 | -5.79099e-05 / 5.79099e-05 | -8.86493e-05 / 8.86493e-05 | -8.94063e-05 / 8.94063e-05 | -3.12992e-05 / 3.12992e-05 |
 | b-tag Eigenvar. 12 | -0.000229262 / 0.000229262 | -0.000667019 / 0.000667019 | -0.00072077 / 0.00072077 | -1.70585e-05 / 1.70585e-05 | -0.00150266 / 0.00150266 | -0.00114422 / 0.00114422 | -1.54435e-05 / 1.54435e-05 | 3.13386e-05 / -3.13386e-05 | -3.19818e-05 / 3.19818e-05 | -1.49471e-05 / 1.49471e-05 |
