 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SigXsecOverSM | 0.113504 / -0.105765 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 | 0.0486098 / -0.0486757 |
 | Electron trigger eff. | 0.00214876 / -0.00214875 | 0.00220437 / -0.00220442 | 0.00224196 / -0.00224201 | 0.00269884 / -0.00269889 | 0.00219381 / -0.00219381 | 0.00222918 / -0.00222915 | 0.00234563 / -0.00234565 | 0.00347802 / -0.003478 | 0.00290081 / -0.0029009 | 0.00285372 / -0.00285368 |
 | Electron reconstruction eff. | 0.0011116 / -0.00111166 | 0.00126523 / -0.00126527 | 0.00127628 / -0.00127633 | 0.00139888 / -0.00139885 | 0.00139309 / -0.0013931 | 0.00135288 / -0.00135285 | 0.00139357 / -0.00139359 | 0.00157612 / -0.0015761 | 0.00147503 / -0.001475 | 0.00154497 / -0.00154501 |
 | Electron identification eff. | 0.0092282 / -0.00922885 | 0.00954077 / -0.00954135 | 0.00950686 / -0.00950746 | 0.0108223 / -0.0108231 | 0.0115711 / -0.0115721 | 0.0101692 / -0.01017 | 0.0105424 / -0.0105432 | 0.011301 / -0.0113018 | 0.0111348 / -0.0111358 | 0.0122117 / -0.0122127 |
 | Electron isolation eff. | 0.00104849 / -0.00104847 | 0.00110319 / -0.00110314 | 0.00110761 / -0.00110759 | 0.00140509 / -0.00140506 | 0.00130586 / -0.00130587 | 0.00126074 / -0.00126071 | 0.00135883 / -0.00135885 | 0.00148131 / -0.0014814 | 0.00138861 / -0.00138869 | 0.00151429 / -0.00151426 |
 | Muon id. (stat) | 2.82933e-16 / 2.82933e-16 | 1.68881e-16 / 1.68881e-16 | -1.2393e-16 / -1.2393e-16 | 1.54355e-16 / 1.54355e-16 | 1.15401e-16 / 1.15401e-16 | 0 / 0 | 0 / 0 | 1.33626e-16 / 1.33626e-16 | 0 / 0 | 0 / 0 |
 | Muon id. low pt (stat) | 2.82933e-16 / 2.82933e-16 | 1.68881e-16 / 1.68881e-16 | -1.2393e-16 / -1.2393e-16 | 1.54355e-16 / 1.54355e-16 | 1.15401e-16 / 1.15401e-16 | 0 / 0 | 0 / 0 | 1.33626e-16 / 1.33626e-16 | 0 / 0 | 0 / 0 |
 | Muon id. (syst) | 2.82933e-16 / 2.82933e-16 | 1.68881e-16 / 1.68881e-16 | -1.2393e-16 / -1.2393e-16 | 1.54355e-16 / 1.54355e-16 | 1.15401e-16 / 1.15401e-16 | 0 / 0 | 0 / 0 | 1.33626e-16 / 1.33626e-16 | 0 / 0 | 0 / 0 |
 | Muon id. low pt (syst) | 2.82933e-16 / 2.82933e-16 | 1.68881e-16 / 1.68881e-16 | -1.2393e-16 / -1.2393e-16 | 1.54355e-16 / 1.54355e-16 | 1.15401e-16 / 1.15401e-16 | 0 / 0 | 0 / 0 | 1.33626e-16 / 1.33626e-16 | 0 / 0 | 0 / 0 |
